Titel Geschäft;Link Dokument
Schriftliche Anfrage Johannes Sieber betreffend die Situation obdachloser Jugendlicher in der Region Basel;https://grosserrat.bs.ch/?dnr=23.5661.01
Schriftliche Anfrage Tim Cuénod betreffend des Umsetzungsstandes der Projekte aus den Aggloprogrammen 1-3 sowie zum Bericht zum Stand der Tramnetzentwicklung;https://grosserrat.bs.ch/?dnr=23.5660.01
Anzug Michael Hug und Luca Urgese betreffend Vergabe zur zeitgemässen Betreibung eines Recyclingparks für die gesamte Basler Bevölkerung;https://grosserrat.bs.ch/?dnr=23.5659.01
Staatsbeitrag für die Initiative «CLINNOVA - Innovation in Healthcare» für die Jahre 2024 bis 2026»;https://grosserrat.bs.ch/?dnr=23.0958.02
Staatsbeitrag für die Koordinationsstelle Freiwillige für Flüchtlinge (KOFFF) für die Jahre 2024 bis 2027;https://grosserrat.bs.ch/?dnr=23.0728.02
Motion Tobias Christ und Konsorten betreffend die Einführung eines Aufgaben- und Finanzplans;https://grosserrat.bs.ch/?dnr=23.5658.01
Motion Tobias Christ und Konsorten für eine Generelle Aufgabenüberprüfung mit Entlastungsziel;https://grosserrat.bs.ch/?dnr=23.5657.01
Interpellation Nr. 155 Sandra Bothe-Wenk betreffend den verschiedenen Prüfungsformate für die Maturaprüfungen SJ 23/24;https://grosserrat.bs.ch/?dnr=23.5623.02
Interpellation Nr. 160 Christine Keller betreffend trauriger Todesfälle im Zoo Basel im Jahr 2023;https://grosserrat.bs.ch/?dnr=23.5656.01
Anzug Sebastian Kölliker und Konsorten betreffend eine durchgehende Fussgängerverbindung am Kleinbasler Rheinbord;https://grosserrat.bs.ch/?dnr=17.5312.04
Motion Stefan Wittlin und Konsorten betreffend Bewilligung von Grossinvestitionen der öffentlichen Spitäler durch den Grossen Rat;https://grosserrat.bs.ch/?dnr=23.5297.02
Schriftliche Anfrage Joël Thüring betreffend «Stadtbelebungs-Fonds - wer bekommt was und wie oft?»;https://grosserrat.bs.ch/?dnr=23.5436.02
