text_id;text;result
0;Die Nähe zur Stadt und dass man mit der BVB überall gut hinkommt. Mir gefällt, dass man im Rhein schwimmen kann und alles sehr kompakt ist. Und natürlich die Fasnacht.;[1, 3, 5, 7, 12, 16]
1;Das es den FCB gibt.;[7]
2;Mir gefällt, dass die Innenstadt kompakt ist, dass der Rhein durch Basel fliesst.;[1, 12]
3;Ich mag die eher ruhige Umgebung, die aber trotzdem relativ nahe am Zentrum liegt (also mit Tram und Bus kommt man schnell in die Stadt).;[3, 18]
4;Die Innenstadt  das öffentliche Verkehrssystem  Direkt an der Grenze zu Deutschland und Frankreich;[3, 12]
5;Das es hier viele Unterhaltungsmöglichkeiten, wie Kino, Schwimmbäder etc., hat. Und die vielen Cafés;[7, 4]
6;Park in der Nähe, lange Erlen-> Pumpwerk  Freunde, Trammhaltestelle in der Nähe, Spital;[1, 3, 5, 15]
7;Dass es viele Freizeitmöglichkeiten gibt (Rhein, Parks etc.);[7, 5]
8;Ausgang abends  Lange Erlen;[7, 5]
9;Eigentlich fast alles;[8]
10;vorhandene Grünflächen;[5]
11;Es ist nicht zu klein und nicht zu gross. Man kennt viele Leute, kann aber noch mehr kennenlernen.;[6, 17]
12;Es hat viele grüne Pärke;[5]
13;Das man Abends raus gehen kann und es ziemlich sicher ist.;[14]
14;Basel  Rhy schwimme;[1, 5, 7]
15;Das man so schnell einkaufen kann.;[4]
16;viel Grün;[5]
17;Das man ganz schnell nach Deutschland kommt.  Und, dass alles in der Nähe isch;[2, 3]
18;Schulareal  Stadt  Bus/ Tram-Verbindungen;[1, 3, 12]
19;die Menschen, die Klima;[6, 999]
